n_agree,n_ans,n_article,n_ask,n_collection,n_editlog,n_followee,n_follower,n_thanks,n_topic,answerer_id
20,15,0,1,0,5,226,141,14,48,aerotian
8393,165,0,14,2,412,329,1423,781,67,afc163
0,3,0,1,0,1,23,12,0,3,afei-25
12,21,0,11,0,11,50,28,3,42,afirst
39,25,0,13,12,12,127,28,15,4,aftershower
14,11,0,33,2,211,59,102,5,17,afulee
153,24,0,5,2,17,222,51,49,6,Agnesa
0,0,0,0,0,0,0,0,0,0,Agoni
17,5,0,1,1,7,56,14,4,51,Agonie
62,29,0,1,0,2,19,446,32,7,agrisky
0,1,0,0,0,0,11,4,0,7,agui
27,37,0,20,22,166,93,86,12,1,ahaa
0,1,0,3,0,4,89,49,1,46,ahahkmz
168,117,0,31,2,155,378,166,91,9,ahau
338,30,0,2,1,5,46,50,42,6,ahaufox
1,7,0,3,0,13,25,3,1,60,ahaxzh
0,2,0,0,0,0,64,7,0,7,ahcounty
1,2,0,1,0,0,44,8,1,0,ahhuyue
536,17,0,13,1,57,28,143,192,1,ahleric
117,55,0,9,11,59,346,114,38,43,ahlon
25,11,0,5,0,15,0,1,8,9,AhnUngbi
7,13,0,2,0,6,12,2,2,141,ahone
1,2,0,1,0,0,28,6,2,3,ahsun
0,1,0,0,0,0,3,2,0,4,ahuzhaowei
48,86,0,7,12,17,127,64,22,4,ahxsong
374,6,0,0,1,9,495,216,92,10,ahxxm
8,7,0,8,0,39,55,6,2,2,ai-bao-er-21
197,39,0,13,0,116,132,18,40,44,ai-bei-er
0,1,0,0,0,0,2,4,0,0,ai-chi-de-mao
10,3,0,5,0,18,56,22,5,1,ai-chong
5,11,0,4,0,11,11,34,3,8,ai-dang-mu-mao-12
4,9,0,3,0,5,29,11,4,6,ai-de-hua-da-fu
2127,166,0,20,0,106,179,2836,929,51,ai-fei-ai
4,5,0,0,0,0,5,2,0,6,ai-fei-an
1,1,0,0,0,0,5,2,0,14,ai-fei-fei
2,3,0,2,0,0,1,2,1,16,ai-fei
1,4,0,0,1,0,4,3,1,63,ai-guo-31
449,57,0,11,2,70,75,617,163,87,ai-hua-feng
0,3,0,1,11,1,51,4,0,23,ai-hui-61
45,13,0,5,0,14,55,17,18,19,ai-jia-69
4654,221,0,2,1,4,116,1398,1468,2,ai-li-si
1206,273,0,7,0,17,59,824,491,20,ai-mi-kai
0,0,0,0,1,0,616,15,0,120,ai-peng
2,4,0,0,0,1,25,3,5,17,ai-ping
1,3,0,2,5,3,20,6,0,8,ai-qin-hai
2,1,0,0,0,0,32,1,0,11,ai-qing-21
5,9,0,2,0,11,0,3,2,3,ai-qing-8
0,0,0,1,4,4,13,1,0,6,ai-shi-guang
0,0,0,0,0,0,10,0,0,3,ai-shi-wei
6,3,0,0,6,0,88,2,3,29,ai-tao
4,1,0,0,0,0,15,1,0,21,ai-tuan-tuan
3,4,0,7,0,5,11,9,2,2,ai-wen-55
0,14,0,11,10,23,10,6,0,1,ai-xiao-25
6,1,0,0,1,0,77,4,0,4,ai-xie-xi
2,4,0,4,14,5,147,8,0,21,ai-xin-jue-luo-da-you
1,1,0,0,1,0,2,0,0,5,ai-yan
0,3,0,0,0,0,4,3,0,17,ai-yi-jun
1,9,0,0,0,0,20,2,2,19,ai-you-28
24,17,0,0,3,0,67,7,3,13,ai-you-you
0,0,0,0,0,0,27,7,0,6,ai-you
23,8,0,1,0,1,41,16,5,11,ai-zhi-ren
64,13,0,9,1,14,39,30,12,20,aibo
21,7,0,3,1,6,104,4,0,27,aichuanren
2,9,0,4,1,24,18,5,3,7,aidayong
8,2,0,2,2,10,61,2,1,1,AIDCR
12,12,0,0,4,0,5,9,2,3,aidear
65,16,0,9,1,35,14,54,33,4,aidenixl
3,2,0,0,0,1,35,16,1,28,aidi
148,135,0,4,0,7,95,225,72,2,aidi37
3,2,0,1,0,9,6,7,3,7,aidrand
3,8,0,2,0,15,4,5,3,77,aifang
0,2,0,1,0,0,15,28,0,1,aifu23
13,7,0,0,0,0,37,9,3,2,aiguo
106,43,0,6,7,17,443,48,8,37,aihop
7,2,0,0,0,1,1,5,2,6,aihua
0,6,0,6,1,12,110,6,0,6,aihui
12,12,0,0,0,0,11,20,6,21,aiko
1,2,0,0,1,0,73,24,0,2,ailake
61,4,0,1,1,2,21,15,16,3,ailaopo
53,27,0,4,2,2,44,9,11,1,aileen-74
13,5,0,4,0,12,4,5,5,6,aileen-li
9,13,0,3,1,4,3,28,4,50,ailya
209,109,0,66,0,630,1368,339,67,3,aimeng
74,38,0,0,0,0,16,23,11,6,aimoran
17,4,0,0,0,0,13,22,0,15,aimtop
0,2,0,4,2,1,13,4,0,1,ainidechouren
65,21,0,12,0,23,15,18,28,11,ainipapa
3,20,0,1,0,0,1,1,1,1,aiplo
72,28,10,16,1,49,211,179,24,28,aipsme
0,1,0,2,0,2,2,2,0,20,air-k
8,15,0,1,1,0,11,20,4,10,Airaurum
1179,359,0,104,3,654,562,514,345,36,airbai
71,41,0,1,3,10,26,118,46,3,airbusdriver
2,4,0,1,0,3,38,18,3,13,aircross
0,1,0,0,0,0,2,3,0,25,airen
0,0,0,1,0,1,0,0,0,0,AirFu
2,2,0,3,2,4,11,6,1,2,airJs
4,6,0,0,0,0,2,1,1,11,airman
8,9,0,2,0,0,31,2,0,17,airmanlvtao
3,1,0,2,3,2,5,3,0,8,airness
6,2,0,1,0,3,25,8,7,10,airoam.net
4,1,0,0,3,0,18,5,3,111,airsom
67,43,0,2,3,12,38,17,17,17,airson
107,132,0,4,37,14,302,40,34,30,airspuer
0,4,0,2,0,0,0,2,0,1,airtea
20,22,0,2,8,3,211,51,5,2,airwolf2026
22,14,0,1,10,4,141,24,3,32,airyland
22,21,0,3,13,23,84,15,9,12,air_zhanghao
0,6,0,2,0,7,54,3,0,16,aisack
24,5,0,0,0,0,4,8,15,27,aisced
0,2,0,46,5,238,25,5,0,3,aitaide
9,5,0,3,2,4,36,2,2,2,aitaofor100years
12,3,0,0,0,0,27,11,3,8,aitar
56,5,0,1,0,0,8,4,11,1,aiven
150,5,0,2,0,0,2,9,27,27,aivenw
29,8,0,2,15,13,102,83,9,24,aiviking
18,8,0,0,1,0,399,40,2,43,aixy
2,13,0,3,0,10,67,9,2,8,aiyaya
51,25,0,9,0,40,44,77,17,28,aiyi
1260,138,0,4,46,14,215,121,230,11,aiyohu
13,12,0,2,0,4,5,190,3,17,aiyong
0,5,0,2,2,0,11,2,2,1,aiyonlee
78,4,0,0,1,0,4,38,29,41,aj-su
19,6,0,4,1,8,40,17,8,1,ajanelee
20,33,0,14,1,26,37,76,15,19,ajdv2012
97,12,0,1,1,4,53,362,35,5,ajian
3,5,0,0,0,1,26,5,0,3,ajluo
1,3,0,0,0,0,2,6,2,13,ajwalter
0,1,0,0,0,0,3,4,0,33,ajwang1031
0,1,0,0,0,0,2,6,1,19,ajzd
28,7,0,21,6,60,88,63,18,5,akaash
16,22,0,3,5,5,67,53,4,5,akamark
0,1,0,1,2,1,17,3,0,10,akaorz
4325,52,0,5,1,27,168,520,446,17,akara
36,11,0,3,3,4,482,38,28,51,akatsuki-98
0,6,0,0,0,0,1,10,1,2,akatsuki
28,3,0,1,0,252,89,51,7,1,akatsuki9009
1,2,0,0,0,0,56,12,0,69,akax
8,14,0,4,1,5,15,7,2,2,akay
40,28,0,7,1,163,107,63,15,2,akb48
1,3,0,0,0,0,5,3,1,22,akeer
86,8,0,0,1,0,3,32,15,21,akem
2,6,0,0,0,0,20,9,1,8,aken-niu
3,5,0,0,0,0,0,2,2,3,aken945
6,8,0,7,1,36,24,7,5,20,akhowe
9,2,0,4,1,1,21,12,3,1,aki-lin
9,4,0,3,0,5,2,2,3,5,aki-pan
703,23,8,4,0,15,98,299,165,10,akid
1,4,0,1,0,0,3,4,0,13,akilus
12,12,0,1,0,2,749,15,2,174,akin
1,2,0,1,5,10,26,1,0,1,aking-67
2,3,0,0,0,0,2,6,2,8,akio-ike
1,7,0,2,0,3,9,19,0,2,akira-29
44,5,0,3,0,10,5,55,13,6,akira
45,22,0,0,6,0,283,268,21,36,akira827
316,61,0,6,6,11,77,59,77,1,akirabread
52,6,0,1,4,4,33,20,13,0,akirose
8,10,0,0,0,0,17,8,1,10,aki_xavier
1,6,0,5,0,5,3,8,0,11,Aki_zT
0,3,0,0,1,0,0,0,0,0,akki
5,3,0,2,6,0,78,51,0,15,aklis
18,19,0,5,0,5,76,19,10,16,AkonWu
214,108,0,22,4,120,190,287,51,12,akuan
0,1,0,1,0,3,7,7,0,23,akui
8,5,0,1,13,4,187,87,3,8,akule
120,21,0,4,1,13,46,11,25,5,al-lee
258,31,0,16,14,101,164,68,64,22,aladelee
2,2,0,1,0,0,5,2,5,9,aladyn
14,8,0,2,0,5,3,9,2,1,alai
12,6,0,0,0,0,3,16,3,6,alalilao
1,2,0,0,0,0,2,4,3,9,alamo
1,2,0,1,0,1,14,5,2,15,alan-14
0,0,0,0,0,0,0,0,0,11,alan-62
3,7,0,14,2,56,13,12,1,1,alan-93
0,3,0,0,0,0,2,1,0,12,alan-cai
1,4,0,0,0,0,136,37,2,11,alan-sha
0,2,0,0,0,0,5,2,2,3,alan-yuan
107,33,0,3,5,13,153,58,28,74,alan-zc
615,67,0,1,3,5,55,1066,158,1,alan.li
866,71,0,1,2,3,214,128,238,28,alan07
5,20,0,2,0,1,6,5,4,16,alan1891
0,4,0,1,1,16,52,32,0,22,alan4u
88,41,0,37,0,191,180,41,37,7,Alan777
658,26,0,34,1,130,71,176,80,1,alancaii
4612,723,0,9,1,14,830,517,1308,53,alang
0,0,0,0,0,5,104,89,0,72,alanhome
173,67,0,4,0,4,21,171,67,12,alanita
0,0,0,0,0,0,0,0,0,12,Alanjiang
251,15,0,2,6,5,5,9,25,2,alanlxl
44,29,0,6,0,28,32,146,20,22,alansong
5,7,0,2,0,0,27,7,1,1,alansugar
41,6,0,10,14,66,18,33,13,9,alantam
20,15,0,1,1,4,9,16,3,1,alanxiang
12,2,0,0,13,0,32,15,8,27,alanye
4,4,0,1,0,2,21,60,3,1,alan_blake
46,32,0,17,0,66,477,217,21,281,alan_zhang
2,4,0,1,1,2,133,6,0,5,alasox
107,24,0,4,6,5,43,8,12,2,Alaxander
7407,12,0,0,1,110,51,946,1298,9,alayou
0,1,0,0,4,0,14,1,1,5,albert-83
0,1,0,0,0,0,9,2,0,1,albert-m
0,0,0,0,0,0,2,0,0,3,albert-zheng
0,0,0,0,1,5,123,24,0,5,albert
31,49,0,74,1,357,41,49,14,2,albert.ulysses
16,6,0,1,0,2,115,30,10,19,Alberta
1,1,0,1,5,1,13,8,2,1,albertgu
0,1,0,1,1,2,15,2,0,37,albertlau
2,3,0,5,4,8,69,9,1,14,albertlee
2387,113,13,63,1,511,135,1671,565,27,albertpkmn
8,6,0,1,1,2,59,9,2,4,albertzmh
4,13,0,5,0,16,58,58,0,43,Albert_Huang
0,3,0,0,0,0,5,2,0,17,albert_K
7,2,0,1,0,3,41,3,6,34,albert_lee
56,7,0,0,0,0,18,11,11,8,albus49
872,158,0,24,10,183,155,324,285,23,alchain
398,413,0,1,3,0,2,280,185,14,alcki
75,23,0,0,2,0,16,276,26,5,alcoholwang
991,198,1,4,0,34,137,2127,325,48,aldous
32,5,0,1,1,2,40,14,9,3,aleafo
0,3,0,0,1,0,8,12,0,7,alec.zhang
0,0,0,0,0,0,96,17,0,8,aleclu
104,45,0,3,0,14,41,17,17,1,Alec_Chow
11,9,0,2,0,0,57,73,11,38,aleegsyan
3,20,0,1,4,1,18,32,1,1,alei
0,0,0,1,4,1,5,0,0,6,aleilei
2,6,0,2,0,3,13,6,0,9,alenlong
8,14,0,2,0,7,31,27,7,11,alen_v
6,20,0,15,1,18,10,18,3,2,aleph
27,3,0,0,0,0,31,13,4,10,alesanasiya
37,9,0,0,2,0,16,8,16,1,alessio
10,23,0,2,0,2,36,67,5,8,alethea778
1,5,0,5,0,7,35,3,1,19,alex-10
22,32,0,7,1,13,71,29,15,11,alex-13
0,3,0,1,1,1,7,2,0,10,alex-18-74
9,13,0,3,0,4,26,6,0,8,alex-35-43
4,9,0,3,1,3,25,13,1,1,alex-35
3,14,0,4,0,0,66,16,5,3,alex-37
0,0,0,0,1,0,29,3,0,8,alex-51
17,5,0,3,0,21,33,46,5,1,alex-57
388,3,0,2,2,3,263,31,36,54,alex-68-30
35,63,0,2,10,7,374,55,21,10,alex-68
0,2,0,2,0,5,20,2,2,23,alex-85-37
0,1,0,0,0,2,3,2,0,8,alex-90
1,5,0,0,0,0,3,1,1,20,alex-an-61
0,0,0,0,0,0,22,2,0,20,alex-bai
15,5,0,4,0,11,4,17,4,6,alex-chen
0,1,0,0,0,0,15,1,0,54,alex-cui-40
0,1,0,2,4,12,26,5,1,2,alex-gu
456,36,0,16,5,50,125,44,61,23,alex-hou
0,5,0,0,1,0,19,1,0,2,alex-lee
2,17,0,3,1,1,143,12,4,15,Alex-seo
2,3,0,2,1,6,7,2,0,8,alex-sucre
0,1,0,0,2,0,1,3,0,2,alex-tang
293,20,0,5,9,37,400,181,71,106,Alex-Woo
32,16,0,0,12,0,203,14,21,47,alex-yao
460,228,0,1,4,5,19,353,230,2,alex-zhou-25
207,64,1,12,3,186,100,233,81,6,alex.h
218,69,0,42,1,248,481,354,92,23,alex
257,45,0,5,7,23,420,101,70,51,alex23
23,3,0,0,0,0,49,60,6,2,alexa
987,44,3,0,3,113,93,1729,323,8,alexaesar
0,1,0,0,0,0,1,2,0,5,alexander-13
0,0,0,7,0,15,235,21,0,21,alexander-75
319,130,0,6,0,27,19,202,102,19,alexander-lee
1295,107,1,12,5,66,250,403,338,4,alexander-r
312,42,0,13,0,44,204,98,93,6,alexander98
0,0,0,0,0,0,17,0,0,21,alexanderxie
3752,361,0,123,28,915,96,2290,946,11,alexandrus
60,38,0,1,0,8,47,142,27,3,alexblair
27,23,0,10,4,11,69,21,8,2,alexchan
1,6,0,1,0,0,9,9,2,1,alexchen
2414,121,0,14,25,51,249,123,340,11,alexcu
1,5,0,4,0,9,24,3,0,1,alexdan
0,4,0,7,0,8,50,18,1,1,alexfang
5,5,0,0,0,0,9,5,0,2,alexfong
326,6,0,0,6,0,9,7,56,35,alexfox
8,3,0,3,0,12,11,5,0,4,alexgao
25,11,0,1,0,1,5,7,5,5,alexguo
19,26,0,15,2,28,37,7,4,4,alexho
12,27,0,1,0,5,5,4,6,15,alexhobo
1771,3,0,2,0,12,177,130,348,13,alexhuang
10,15,0,1,3,2,18,13,4,19,alexidiot
143,18,0,3,0,12,17,127,61,26,alexinverse
2,10,0,0,1,0,16,3,4,18,alexjingsi
716,46,0,0,1,0,75,201,242,10,alexkh
185,12,0,1,0,1,0,937,39,10,alexkidulty
1,2,0,1,3,4,55,4,1,15,AlexKupo
0,2,0,0,0,0,2,6,0,5,alexlee4ever
0,1,0,0,0,0,5,6,0,1,alexli
9,10,0,1,0,0,54,10,2,16,alexlu
252,104,0,17,0,23,27,409,141,2,alexma
4,3,0,1,1,6,16,14,0,2,alexmajy
30,26,0,11,8,34,2,17,7,17,alexon
2626,23,0,1,1,5,104,617,557,4,alexpeng
1432,165,0,44,11,326,1023,177,234,21,alexpoo
44,13,0,4,1,14,43,227,14,30,alexren
283,73,0,28,0,134,149,86,73,5,alexseo
1554,49,0,7,0,26,282,168,282,114,alexso
0,8,0,11,0,15,27,27,0,1,alexsong
131,18,0,2,5,12,60,791,38,2,alexwhu
6,5,0,3,1,15,28,14,4,72,alexwu
613,29,0,3,4,14,28,15,91,13,alexy
2096,153,0,19,16,223,209,685,752,2,alexyangfox
194,25,0,5,7,50,265,422,51,50,alexzhan
323,68,0,2,11,4,187,49,37,27,alexzhangwhu
16,7,0,0,24,0,121,7,11,26,alexzhong
455,153,0,1,13,22,57,20,73,43,alex_ren
263,26,0,2,2,14,115,726,86,3,alex_sudong
25,14,0,7,0,14,34,109,5,1,alex_tsai
15,6,0,1,2,2,28,1,1,2,alex_yan
5,2,0,1,4,0,10,12,7,1,alfred-95
59,26,0,2,0,5,179,59,29,1,alfredC
65,3,0,2,4,4,57,35,21,32,alfredream
24,9,0,1,0,2,41,19,12,1,alfredsamuel
3,10,0,4,1,29,33,12,4,1,Alfredzhao
1,10,0,7,0,20,38,38,1,37,algerchen
269,77,1,29,0,119,42,356,61,1,alhep
0,1,0,0,0,0,46,4,0,2,ali727
0,3,0,1,0,2,4,6,0,8,aliang
70,7,0,0,3,0,10,16,10,23,alias-wang
56,55,0,19,0,232,32,50,33,92,alibaba
69,19,0,1,0,3,30,8663,16,38,alibuybuy
0,1,0,0,0,0,1,0,0,1,alice-3
0,0,0,0,0,0,0,1,0,0,alice-81
1,1,0,0,0,0,14,3,0,1,alice-9-54
0,2,0,0,11,0,21,2,0,3,alice-gu
615,121,0,5,1,17,44,3239,194,12,alice-was-dead
4,3,0,1,0,0,8,4,2,3,alice-zhang
17,8,0,3,0,10,46,176,9,34,Alice
85,13,0,1,0,0,4,19,14,2,alice0221
371,111,0,21,5,214,12,333,155,5,alice0429
996,13,0,2,1,10,89,142,210,5,aliceliang0907
5,14,0,2,0,7,35,58,7,11,AliceWang
2,1,0,0,0,0,4,0,0,14,alicewyg
0,1,0,0,0,0,50,12,0,1,aliceyy
0,0,0,0,0,0,0,0,0,0,alicia-17
0,1,0,0,0,0,6,0,1,32,alicia-66
10,10,0,1,0,3,15,11,7,1,alick
4999,17,0,1,0,383,263,458,1183,29,alien
1608,114,0,42,7,142,56,834,535,3,alienbin
16,10,0,0,0,0,41,7,5,3,alienblog
136,218,0,121,1,476,113,48,49,5,alienware
3,11,0,13,0,47,7,14,4,12,alien_xu
16,28,0,2,0,3,59,50,17,6,alik
17,16,0,3,0,13,96,19,5,7,aliki
0,3,0,1,0,2,1,17,0,6,alilee
1,3,0,1,1,1,2,0,1,15,alim-ismayel
232,7,0,2,2,5,10,32,102,3,alim
4,4,0,1,0,1,76,30,0,63,alina2150
72,127,0,16,4,114,31,89,43,127,aling-chou
36,9,0,3,3,14,45,7,7,11,aling
1,2,0,1,0,1,6,32,1,25,alipayjiji
1,2,0,0,0,0,119,10,2,6,alipayzhaoxu
12,41,0,2,1,3,16,19,7,9,alisidun
45,12,0,1,2,0,12,15,3,13,alisoft
55,29,0,14,14,31,315,367,37,51,alison-80
0,2,0,5,0,19,13,4,0,21,alison
14,9,0,2,0,4,44,17,3,2,Alison1989
577,88,0,9,8,30,55,91,95,5,alistertt
66,42,0,9,0,20,345,259,28,13,alitedesign
27,16,0,76,1,577,4,12,7,5,alive
6,16,0,2,0,0,11,12,8,1,alixes
0,3,0,0,0,0,3,25,1,13,alixuzhe
2,7,0,2,0,1,31,4,4,15,alizahmy
0,0,0,0,1,0,4,2,0,8,alkali
228,29,0,0,2,0,298,70,75,26,allaboutariel
0,0,0,0,0,0,0,0,0,0,allan-25
0,0,0,0,0,0,0,0,0,11,allan-49
0,2,0,1,0,3,7,1,0,0,allan-54
0,1,0,0,0,0,0,0,1,9,allan-97
77,14,0,1,0,4,253,31,16,31,allan-qian
120,19,0,0,0,3,14,515,62,8,allan-shi
3925,21,0,7,17,10,308,131,594,45,allan-sun
2,3,0,5,0,17,42,13,1,20,allan001
18,11,0,2,5,3,32,10,9,9,allan945
245,120,0,5,1,12,93,364,98,5,allanhe
1082,41,0,5,2,29,221,432,403,100,allanli
5,22,0,1,0,5,7,3,8,22,allanym
2,15,0,8,0,10,24,51,1,15,allcom
8,7,0,1,1,6,78,14,3,17,alldryc
0,5,0,2,0,1,51,7,1,3,allen-2
0,0,0,2,2,10,3,5,0,5,allen-44
0,1,0,0,5,0,17,3,0,4,allen-75-48
0,6,0,1,1,3,21,7,0,1,allen-cai
607,57,2,55,3,310,525,59,116,97,allen-chen-57
1213,40,0,11,0,55,80,1946,566,2,allen-feng
43,8,0,0,1,0,7,13,10,16,allen-lin
0,1,0,0,0,0,2,3,0,16,allen-xy
6,3,0,1,0,2,3,8,0,12,allen-zhang
4,5,0,0,0,0,5,4018,5,2,allen-zhu
0,2,0,0,0,0,6,8,0,0,Allen
5,29,0,10,0,27,53,16,5,25,allen999
3,3,0,0,0,0,2,9,0,11,allenbai01
2,5,0,0,0,0,17,0,1,31,allencamus
0,6,0,2,0,6,9,8,1,15,allenchallenge
0,4,0,0,20,0,34,19,3,1,allencui
27,43,0,5,1,9,35,26,18,2,allenhe
11,7,0,4,4,6,38,23,3,3,allenisun
171,11,0,5,8,5,62,218,42,10,allenjtchen
0,2,0,0,0,0,4,6,1,14,allenlee
72,43,0,0,2,0,13,36,22,2,allenlooplee
152,49,0,3,3,7,92,469,55,5,allenm
0,1,0,1,0,1,14,0,0,1,allenmrchen
8,17,0,0,0,0,39,52,4,46,AllenQinHai
1,12,0,6,0,1,29,15,0,3,allenqiu
50,32,0,4,21,8,6,35,48,2,allensavage
62,7,0,1,1,3,67,64,18,9,allenw
15,13,0,3,1,3,27,4,9,6,allenwong-79
58,21,0,42,4,357,120,87,20,5,allenwong
41,3,0,0,0,0,4,2,6,2,allenyip
10,9,0,2,0,5,158,75,1,71,allenz
6632,14,0,8,0,0,56,50060,1327,6,allenzhang
0,0,0,0,0,0,3,1,0,17,Allen_liu
0,3,0,3,0,7,41,6,0,1,Allen_Zhang
168,76,0,6,0,8,4,45,46,30,alley-ng
0,0,0,1,0,6,40,43,0,23,alley
14,4,0,2,0,3,1,3,1,17,alleylay
90,6,0,0,1,0,15,18,28,25,allie-70
0,4,0,1,0,3,6,2,2,1,allisolo
454,20,0,12,4,67,58,63,209,220,AllisonSunMay
111,39,0,35,0,164,6,13,12,4,alliswell-84
0,1,0,0,0,0,2,1,0,83,alliswell
2,16,0,0,0,4,29,57,4,15,allkan
4,3,0,1,0,0,50,17,2,10,allkee
235,29,0,11,2,42,94,39,54,11,allossurus
4,8,0,2,1,15,9,68,2,48,allovince
313,408,0,155,16,1600,409,424,102,1,allsaying
11,11,0,3,0,1,75,21,4,2,allstarter
3,1,0,0,1,0,23,5,0,15,allwefantasy
2,10,0,8,2,9,2,6,1,6,ally
1,5,0,3,0,2,11,4,1,0,allyhong
4,2,0,0,0,0,5,6,2,0,allyjin
406,13,0,1,9,13,160,56,127,20,almostme
0,1,0,0,0,0,1,2,0,0,alnyu.com
11,13,0,0,0,0,5,2,9,22,alocasia
17,12,0,6,0,4,19,15,2,31,alogaga
69,26,0,2,1,10,49,27,25,13,alohass
1,1,0,0,3,0,51,9,0,5,alon
86,5,0,0,34,1,62,16,31,7,alonexp
1,1,0,0,0,0,10,8,2,0,along
4,5,6,2,0,4,27,100,2,3,along5418
16,19,0,3,8,11,13,7,9,1,alongrpt
0,7,0,0,0,0,89,28,2,36,alongsoft
0,1,0,0,0,0,1,1,0,0,alonso
2339,127,1,44,1,314,1010,3111,362,24,alonzotang
1,3,0,2,0,5,32,4,1,17,aloofox
11,5,0,0,0,0,0,0,4,1,Alover
94,14,0,2,15,5,77,35,21,26,alpacino
8,6,0,0,0,0,8,3,1,8,alpha-24
0,3,0,0,0,0,12,2,0,7,alpha-90
5,6,0,2,3,4,12,6,1,6,alpha-liu
0,4,0,2,0,1,14,12,0,11,alpha
54,7,0,17,12,27,3,3,5,2,alphachu
1015,233,0,27,0,243,28,164,258,2,alphamale
485,103,0,7,1,24,85,146,112,18,AlphaTr
3075,95,0,1,1,5,281,579,368,65,alplee
21,11,0,2,5,4,62,18,6,12,alpoet
1,3,0,0,2,0,84,7,0,8,alpsfairy
37,41,0,0,0,0,4,35,13,15,alsey
6,4,0,1,7,0,138,17,0,31,alsharpay
0,1,0,0,0,0,0,0,0,5,alsk
3,4,0,0,0,0,4,3,1,22,alsonge
300,61,0,8,0,45,17,39,68,6,alsotony
2352,244,0,20,18,174,410,1178,654,2,alswl
16,16,0,0,0,0,63,78,12,17,altenfu
55,24,0,4,11,8,77,9,34,4,alterego
6,8,0,13,0,11,46,8,2,36,altonchou
0,4,0,4,0,12,37,30,0,1,aluan
0,0,0,0,5,0,0,180,0,35,alucard
126,38,0,6,0,18,13,32,22,12,alucardpj
200,39,0,5,16,22,206,89,61,24,alue
1,1,0,0,1,0,32,9,2,1,alva-wong
733,5,0,1,35,10,16,45,256,2,alvens
21,31,0,4,0,5,1,1,1,0,alvin-44
8,7,0,6,0,12,44,12,6,1,alvin-82
3,7,0,1,2,1,93,14,2,16,alvin-92
11,4,0,2,0,0,118,13,2,13,alvin-yao
123,24,0,22,1,20,322,758,45,4,alvin
2,4,0,2,0,3,330,69,0,110,alvin0530
11584,158,2,83,4,506,163,14325,4432,8,alvin969
129,39,0,0,6,0,102,32,24,33,alvinchan
0,0,0,1,12,1,134,19,0,2,alvinHoo
