answer_content,answer_id,answer_voted,question_id,user_id,user_agrees,user_edu,user_exp,user_followed,user_helped,user_interest,user_intro,user_recommends,user_saved,user_specialty,user_thanks,question_tags,question_content
"No In general, the virus that causes cold sores is hsv-1. The virus that cause genital herpes is hsv-2. Both viruses are part of the same herpes family but are classified as different ""sub-types"", meaning we can distinguish between them in a lab. Either subtype can cause cold sores or genital herpes, but in general, hsv-1 causes cold sores and hsv-2 causes genital herpes.",19676,1,1008,10000012,"1,372","University of Medicine and Dentistry of New Jersey – Robert Wood Johnson Medical School, NJ",18years,"[10027578, 10003218, 11205260, 10007154, 10007158, 10000094, 10038721, 10003690, 10006193, 11205404, 10004642, 10000079, 10528460, 10011731, 10000012, 10044299, 10008629, 11086259, 10040303, 12317221]","232,512","[Breast pumping, Lactation problems, Breasts engorged, Clogged milk duct]","I am a full time practicing pediatrician at Princeton Nassau Pediatrics as well as the chairman of the department of pediatrics at the University Medical Center of Princeton. I have learned much from my patients in both settings; it has been a very rewarding and humbling experience. I hope to be able to pass on some of the information that I've learned from my patients to those who are looking for guidance. I am also a father of a 6 year old boy and a 4 year old girl and the husband of a pediatric nurse. Those roles have been the most fulfilling and at times, the most educational. I am also a die-hard Yankee fan.","[Dr. Mandelbaum is an amazing doctor! #nationaldoctorsday2015 #virtualflower1, Dr. Mandelbaum is an amazing doctor! #nationaldoctorsday2015 #virtualflower1]",,Pediatrics,225,"[Cold sore, Genital herpes, Herpes, Fever, Antiviral, Virus, Herpes simplex, Hsv, Sex]",Does the same virus that causes genital herpes cause cold sores?
"No No, not typically. The virus that causes genital herpes is usually herpes simplex virus type ii while the virus that causes cold sores is usually herpes simplex virus type i. I say usually because it is possible that the virus goes from the mouth to the genital area and vice versa with contact with an active lesion.",19674,1,1008,10000055,351,"UC Irvine School of Medicine, CA",,"[10002337, 11128785, 12373755, 12350094]","94,530","[Vaccinations, Clogged milk duct, Breast pumping, Breasts engorged, Immunization]",,"[Dr. Min is an amazing doctor! #nationaldoctorsday2015 #virtualflower1, Dr. Min is an amazing doctor! #nationaldoctorsday2015 #virtualflower1]",,Pediatrics,197,"[Cold sore, Genital herpes, Herpes, Fever, Antiviral, Virus, Herpes simplex, Hsv, Sex]",Does the same virus that causes genital herpes cause cold sores?
"Yes Same virus, just different locations. One is type i and typeii.",1331218,0,1008,12412094,299,Univ of Minnesota,38years,"[10000408, 12543253, 12631734, 12456431, 10000414, 12515014, 12390941, 10002947]","319,939",,Board Certified general Dentist,"[Great doctor. Consistently gives thoughtful, insightful and expert advice.]",1,Dentistry,97,"[Cold sore, Genital herpes, Herpes, Fever, Antiviral, Virus, Herpes simplex, Hsv, Sex]",Does the same virus that causes genital herpes cause cold sores?
Yes Herpes viruses come in two flavors- HSV i and HSV ii. Either virus can occur on the lips or in the genitalia.,19668,0,1008,10002677,"5,689","Keck School of Medicine of University of Southern California, CA",20years,"[10005085, 10038441, 10014830, 10003512, 10052353, 10003048, 10000408, 10000610, 10007158, 10006323, 10038570, 10038577, 12381652, 10002907, 11079326, 10055629, 11188319, 10000201, 10075023, 10054675]","1,913,532","[Child Health, Asthma, Children's health, Autism spectrum disorder, Hypnosis, Vaccinations, Second hand smoke, Infectious diseases, Vaccine preventable illness]",Dr. Windisch attended the University of California at Irvine for his undergraduate education. He graduated with his bachelor of science degree in 1992. He then graduated from the University of Southern California School of Medicine in 1996 after which he completed his pediatric residency at Kaiser Foundation Hospital Los Angeles. Dr. Windisch is Board Certified by the American Board of Pediatrics. He is currently a member of the American Academy of Pediatrics and The American Society for Clinical Hypnosis. Dr. Windisch accepts most local and national Insurances.,"[Great doctor. Consistently gives thoughtful, insightful and expert advice.]",5,Pediatrics,923,"[Cold sore, Genital herpes, Herpes, Fever, Antiviral, Virus, Herpes simplex, Hsv, Sex]",Does the same virus that causes genital herpes cause cold sores?
CHANGE MEDS I would not continue to taken colace or pericolace. These are not as effective as bulk meds such as metamucil or benefiber for aiding more normal stool evacuation with less straning. This will help prevent recurrent perianl disease such as fissures and hemorhoids.,1441325,3,1014295,10014549,178,"Hahnemann Medical College, PA",49years,"[10014887, 35721737, 10014549, 10531825, 10056502, 10055419, 9016927, 9069397, 9293696, 9276845, 9257304]","57,895","[Anal fissure, Carcinoid, Rectal cancer]",,"[Dr. Mufson is an amazing doctor! #nationaldoctorsday2015 #virtualflower1, Dr. Mufson is an amazing doctor! #nationaldoctorsday2015 #virtualflower1]",,Gastroenterology,101,"[Pericolace, Metamucil, Feces, Hemorrhoids, Docusate sodium, Colace, Anal fissure]","While peri-colace sheet suggests taking at bed time to heal anal fissure& hemorrhoid, what best time for regular colace can be taken and how often/day?"
"Induces BM Pericolace recommends at bedtime since it tries to stimulate a BM it is better to do that at home. The best time to take Colace is whenever it is best for you to remember to take. Depending on the mg, the usual dose is 1 to 2 times daily.",1940774,1,1014295,11194676,"2,951",Wright State University Boonshoft School of Medicine,26years,"[7569692, 7553169, 7401832, 10056546, 11193644, 10000610, 11092579, 10040183, 10000041, 12229824, 12324491, 11827603, 10005085, 11946059, 12708434, 10523999, 11125605, 11889558, 11146675, 10051802]","2,559,712","[Cancer, Surgery, Anal fissure, Lipoma, Breast cancer, Hemorrhoids, Female Health, Breast carcinoma, Hernia, Burns, Verruca, Breast tenderness, Mole removal, Breast ache, GI surgery, Paronychia, Treating Genital Warts, STD prevention, Fleet enema, Sodium bisphosphate]","I am a Board Certified Surgeon with over 17 years of experience. I offer advanced, compassionate surgery for adults and children. I am also the Medical Director of The Smooth Solution a Medical Spa. ""My father was an OB/Gyn and other family members are medical professionals too. I grew up seeing them help people live better lives and I wanted to follow in their footsteps.""","[I endorse Dr. Park. He is actively involved in providing health education to the public via Healthtap. He shares understandable, accurate & compassionate information. I learn a lot from his entries., A talented and experienced physician with exceptional level of dedication.  It is an honor to have him here on HealthTap, and in South Carolina.  Highly recommended!, Very ac accurate & thorough!, Excellent physician]",8,General Surgery,507,"[Pericolace, Metamucil, Feces, Hemorrhoids, Docusate sodium, Colace, Anal fissure]","While peri-colace sheet suggests taking at bed time to heal anal fissure& hemorrhoid, what best time for regular colace can be taken and how often/day?"
Anal fissure Colace 1 2x day to have to soft bms a day.,1441162,1,1014295,11188622,120,Tulane University School of Medicine,29years,"[10055089, 10532678, 10004093, 10045401, 10530416]","56,663","[Abdominal bloating, Diarrhea, Irritable bowel syndrome, Enteritis, Inflammatory bowel disease, Abdominal discomfort, Gastroenterology, CT scan, EGD, Constipation, Abdominal pain, Ileitis, Surgery, Losing Weight, Weight loss surgery, Barrett esophagus, Armour Thyroid, Prevacid, Tagamet, Cimetidine]",,"[Dr. Fine is an amazing doctor! #nationaldoctorsday2015 #virtualflower1, Dr. Fine is an amazing doctor! #nationaldoctorsday2015 #virtualflower1]",,Gastroenterology,29,"[Pericolace, Metamucil, Feces, Hemorrhoids, Docusate sodium, Colace, Anal fissure]","While peri-colace sheet suggests taking at bed time to heal anal fissure& hemorrhoid, what best time for regular colace can be taken and how often/day?"
Funny thyroid result Confusing. First correlate any tests with a clinical pattern. Discuss with your doctor. Tsh suggests you may need more thyroid or have a problem converting thyroid . You might try Armour Thyroid if your doctor agrees and adjust the dose till the TSH is 3 or less. First rule out a lab error.,1440617,2,1014355,10011418,"3,038","Philadelphia College of Osteopathic Medicine, PA",51years,"[10005831, 11080084, 10014592, 10005107, 10530715, 10071091, 10027773, 10049933, 10005209, 10052978, 11387377, 10010426, 12653432, 10056456, 10014627, 10064692, 10027730, 10014344, 11194676, 10075023]","6,304,159","[Allergies, Asthma, Immune diseases, Latex allergy, Migraine, Fibromyalgia]",Certified internal Medicine and Allergy/ Immunology. Masters in Occupational Medicine-Toxicology. In practice in Hurst TX 42 years.,[Dr Cordas knows what he is talking about and he is able to gently but firmly get his point across. He is a great asset to Health Tap!],11,Internal Medicine,"1,142","[Armour thyroid, Triiodothyronine, Thyroxine, Thyroid stimulating hormone, T3, Synthroid, Liothyronine, Levoxyl, Levothyroxine]",I am 20 years old.I have thyroid problem from the past 16 years.I do take thyroxine 100 mcg regularly.T3 & T4 are normal TSH >100.Suggest me.......
"It makes no sense If your T4 and t3 levels are normal, there is no way the TSH would be that high.",1440599,1,1014355,11365213,"23,409",,47years,"[10538896, 10073610, 12324491, 11889558, 10007158, 11447928, 10056456, 10049366, 10003048, 12543253, 12770019, 10000414, 11061343, 11196657, 10011998, 11208135, 11109271, 10014033, 10019047, 11195338]","66,165,427","[Arthritis, Fibromyalgia, Rheumatoid arthritis, Osteoarthritis, Vasculitis]","I am board certified in internal medicine and rheumatology and have practiced rheumatology in Paoli, PA since 1976.","[A concise answer, compassion and experience is what you will get when Dr Krauser answers one of your questions.  Such a great value to the HealthTap community!, Dr. Krauser is very knowledgeable and caring.  He is a tremendous asset to the medical community and to HealthTap.  I highly recommend him., Thank you to my good colleague for providng some timely advice for my treatment on a neurology patient., A treasured expert in his field, and very knowledgeable in many others.
Highly recommend., I enjoy having Dr. Krauser as a colleague on Healthtap.  He is an asset to Healthtap, Knowledegeable and caring answers]",148,Rheumatology,"8,343","[Armour thyroid, Triiodothyronine, Thyroxine, Thyroid stimulating hormone, T3, Synthroid, Liothyronine, Levoxyl, Levothyroxine]",I am 20 years old.I have thyroid problem from the past 16 years.I do take thyroxine 100 mcg regularly.T3 & T4 are normal TSH >100.Suggest me.......
"Initial diagnosis? If the t3 and T4 levels have been consistently normal, and the TSH has been consistently high, you may have thyroid hormone resistance. This is an inherited disorder, so other family members will have a similar problem. It is typically initially misdiagnosed as hyperthyroidism, and then treated with surgery or radioactive iodine. You would require large doses of thyroid hormone to correct tsh.",1676274,0,1014355,11505438,"2,631",University of Pennsylvania,35years,"[12743300, 11048549, 10005184, 11208135, 11447928, 12381652, 11061343, 11682263, 10000408, 10011998, 10005209, 11060227, 11146675, 11205404, 10054628, 11520083, 11951132, 12647755, 12318405, 11109994]","2,519,061","[Diabetes, Osteoporosis, Thyroid diseases, Metabolic syndrome, Pituitary disease]","I was previously in practice in Princeton, NJ for 27 years, currently in practice in Southen Florida over the past year.",[Great doc! Wonderful answers. Thank you!],20,Endocrinology,"1,132","[Armour thyroid, Triiodothyronine, Thyroxine, Thyroid stimulating hormone, T3, Synthroid, Liothyronine, Levoxyl, Levothyroxine]",I am 20 years old.I have thyroid problem from the past 16 years.I do take thyroxine 100 mcg regularly.T3 & T4 are normal TSH >100.Suggest me.......
