answer_content,answer_id,answer_voted,question_id,user_id,user_agrees,user_edu,user_exp,user_followed,user_helped,user_interest,user_intro,user_recommends,user_saved,user_specialty,user_thanks,question_tags,question_content
Herniated disc It means herniated disc. The disc is a cushion like piece in between the vertebrae. Itabsorbs the shock on walking and body movement. When it comes out of it's place then it presses on the nerve and causes numbness and pain to part of body where the nerve goes. In your case the nerves are L5 ;s1.You are on vicodin ; pt. Also get emg. Apply pain patch.Accupuncturd. Read- http://doctorrajput.Com.,1435435,0,1010387,12320252,"1,169","American University of the Caribbean, St. Maarten",33years,"[10005831, 10052353, 10014344, 11083895, 10056780, 10014887, 10057039, 11188319, 11202683, 10023207, 11520083, 12515014, 12429479, 11067968, 11913794, 11927882, 12330544, 7498263, 7756047, 9070177]","875,062","[Cough, Child Health]","Board certified in Internal medicine Fellow American College of physicians Assistant Professor of Clinical Medicine New York Medical College. N. Y. Senior Attending Phelps Memorial Hospital Solo practice. Like reading, gardening , walking & Internet surfing.","[I really really thankful Dr. HASHMAT RAJPUT for ur satisfied answer.it is so helpful for me. I was so confused. Thank u so much. GOD BLESS U, Dr. Rajput is an amazing doctor! #nationaldoctorsday2015 #virtualflower1, Dr. Rajput is an amazing doctor! #nationaldoctorsday2015 #virtualflower1, THANK YOU DR RAJPUT]",8,Internal Medicine,529,"[Back pain, Herniated disk, Numbness, Pain in the back, Low back pain, Sciatica, Mri, Magnetic resonance imaging, Nerve]",Back pain & numbness in foot after MRI report l5-s1: wide based shallow disc herniation eccentric to left. Mild degree facet prominence. Central canal not significantly stenotic. What does this mean?
"It's possible Sex-steroid binding globulins affect the levels of hormones (both male and female hormones). Some hormone deficiencies can cause fertility problems, but they certainly are not specifically effective in preventing pregnancy. If you are trying to conceive, see a doctor. If you are trying not to conceive, see a doctor!",1469188,1,1015685,10055456,"2,336","University of Texas Medical School at San Antonio, TX",32years,"[10019047, 10003048, 10056456, 12743300, 10075023, 10049991, 10000414, 10532678, 12770740, 10007201, 11205260, 12647808, 10001713, 12716366, 10054675, 12363070, 11109271, 25715211, 11951132, 11940386]","1,875,024","[Ear infection, Pediatrics, Behavior problems, Asthma in children]","Dr. Coldwater is a Board-certified Pediatrician with over 25 years of experience in the Austin pediatric community. She is Austin-born and has lived in the Austin area most of her life. She is a graduate of The University of Texas at Austin where she received a BA in Psychology. She attended The University of Texas Medical School in San Antonio and completed her Pediatric Residency at the Austin Pediatric Education Program. She has extensive experience in the treatment and care of children of all ages, including well child/adolescent care, care of sick children, newborn care, and coordination of specialists for children with complex medical issues. Dr. Coldwater has a special interest in children with asthma, ADHD, and school or behavioral concerns. Dr. Coldwater enjoys working with children and their families, educating and empowering children and adolescents to stay healthy. Taking care of families as they grow and develop is a special joy for her. Dr. Coldwater’s other interests include crocheting colorful blankets for friends, family and donations to Safe Place. She has traveled to Honduras twice on medical mission trips. She enjoys kayaking, rowing, practicing qigong (a form of Tai Chi), and reading. She has two sons pursuing their studies in college.","[Dr. COLDWATER is an amazing doctor! #nationaldoctorsday2015 #virtualflower1, Dr. COLDWATER is an amazing doctor! #nationaldoctorsday2015 #virtualflower1, Dr. COLDWATER is an amazing doctor! #nationaldoctorsday2015 #virtualflower1, Very helpful]",12,Pediatrics,833,"[Infertility, Trying to conceive, Sex, Steroids, Hormone, Fertility, Pregnancy]",Can you get a girl pregnant if you have low sexual binding globulin?
Probably. Shbg is not directly involved in fertility.,1469399,0,1015685,10000008,"11,826","University of Connecticut School of Medicine, CT University of Connecticut School of Medicine, CT",29years,"[10005831, 10003512, 11080084, 12515330, 10049935, 11079326, 10014592, 11125605, 11208135, 10000359, 11195338, 12737568, 10014305, 11196657, 11184711, 10530715, 10014353, 12324491, 10000041, 10019047]","6,573,876","[Child Health, Children's health, Asthma, Female Health, Vaccinations, Postpartum depression, Cough, Bow legs, Skin rash, Child allergies, Autism, Autism spectrum disorder, Meningitis, Diabetes risks, Alcoholism, Antibiotic, Chickenpox, ADHD, Food allergy]","In addition to his 365-day-a-year pediatric practice, Dr Belilovsky is consulted by media on pediatric questions; links to his interviews are here: http://loldoc.livejournal.com/ He is also a speculative fiction writer and an Active member of SFWA, and his blog is here: http://loldoc.net .","[Dr Belilovsky's posts are always thought provoking.  One can truly see the commitment and passion to medicine.  Keep the great answers coming., He is knowldegeable about  Bow legs, Postpartum depression, Child Health. He is an asset to the health care community on health tap, Hi Doc:
Great virtual practice!!
Louis Gallia MD, DMD, FACS, Good Answers, provide helpful feedback, timely and precise answers, Helpful, caring answers.]",22,Pediatrics,"1,700","[Infertility, Trying to conceive, Sex, Steroids, Hormone, Fertility, Pregnancy]",Can you get a girl pregnant if you have low sexual binding globulin?
"Yes! If a man can ejaculate, he most certainly can get a girl pregnant unless tested and told that he has no sperm or immotile sperm. Sexual hormone binding globulin is not going to be what determines fertility for you. How did you find out about your shbg levels?",1444135,0,1015685,12535556,"2,345","Warren Alpert Medical School of Brown University, RI",6years,"[10049366, 10001527, 11061343, 20596297, 11499112, 12763938, 10532317, 11775371, 12770740, 12666211, 26076779, 25835273, 12593911, 12659799, 11044444, 12673408, 11364968, 10056792, 25791381, 12647755]","2,385,859","[Female Health, Contraception, Ovulation, Menses, Fertility, Healthy pregnancy, Yeast infection, Oral contraceptive, Sexually Transmitted Diseases, Home pregnancy test, Pregnancy loss, Trying to Conceive, Getting pregnant, Polycystic ovarian syndrome, Sexually transmitted infections, Pap smear, Intrauterine device, First trimester Pregnancy, Pelvic inflammatory disease, Endometriosis]","Having grown up in a happy family from California, Dr. Brian T. Nguyen has dedicated his career to exploring the factors contributing to the formation of happy families. After receiving his Bachelor’s in Human Biology and Master’s in Sociology at Stanford University, he attended Brown University for Medical School, after all of which, he decided that family planning, family dinner, and family-focused fathers played enormous roles in his success. He has subsequently published on the phenomenon of men buying emergency contraception for women and the need for equal vasectomy access. He hopes to continue research that creates a positive role for men in women’s health. Dr. Nguyen enjoys cooking as a means of bringing people together and sharing familiar stories and family values.","[Quick tesonse. Direct, thorough. Answered question and answered not asked (but answers were valuable). Very pleased., Dr. Nguyen is an amazing doctor! #nationaldoctorsday2015 #virtualflower1, Dr. Nguyen is an amazing doctor! #nationaldoctorsday2015 #virtualflower1, Very polite, and straight helpful answers.]",14,Obstetrics and Gynecology,831,"[Infertility, Trying to conceive, Sex, Steroids, Hormone, Fertility, Pregnancy]",Can you get a girl pregnant if you have low sexual binding globulin?
"low risk You are really very unlikely to have heart disease even before you had a normal echo and stress test. Young females are very low risk for heart disease, esp since you don't smoke. Is your blood pressure and cholesterol levels normal? I think reassurance is the best course of action now as more testing will just expose you to radiation and cost $ and will most likely be normal.",1447835,1,1027564,12463908,94,"Loma Linda University School of Medicine, CA",21years,"[10532956, 10023207, 10004189, 10056020, 10014591, 10050136, 7794777, 7591381, 9221838, 7086089, 7111720, 11190023, 7389794, 9268811, 7797933, 9279894, 7600414, 7341229, 7713598, 7803760]","39,782","[Cardiology, Imaging, Preventive medicine, Eat Healthier, Exercise more]","Board certified in cardiovascular diseases. Focus on cardiac imaging-echo and CT. Practice evidence based, appropriate medical care. Medications and testing only as needed. Promote healthy lifestyles as the foundation of medical care along with cutting edge medical technologies and treatments.",[Dr. Hahn is very knowledgeable and provides excellent care on HealthTap!],1,Cardiology,37,"[Stress, Heart diseases, Chest pain, Heart attack, Stroke, Chest pressure, Cardiac arrest, Chest tightness, Cerebral vascular accident, Myocardial infarction]","Do I still have to worry for my chest pain even if I have normal 2deho Jan 2013, ecg, treadmill stress test I'm always thinking of heart attack/stroke?"
"Not acutely At your age, female sex and lack of other risk factors, the acute risk is lower. It is supposed that a persons diet at age under 10 is a risk in the future for atherosclerosis. Do take care of that cholesterol now, with diet, exercise, and medication if needed to avoid future problem. The chest pains, unlikely heart attack for now but i sense anxiety. Relax and enjoy a healthy happy habit and life.",1513700,0,1027564,12505956,"1,394","Eastern Virginia Medical School, VA",28years,"[11194676, 10002874, 12515014, 12281633, 12429479, 11841997, 10056788, 11449443, 12197814, 11445166, 10058278, 11046385, 10003531, 11373932, 10056503, 11089659, 10011436, 10014576, 11841860, 12070148]","1,961,501",,,"[Great doctor. Consistently gives thoughtful, insightful and expert advice.]",21,Addiction Medicine,892,"[Stress, Heart diseases, Chest pain, Heart attack, Stroke, Chest pressure, Cardiac arrest, Chest tightness, Cerebral vascular accident, Myocardial infarction]","Do I still have to worry for my chest pain even if I have normal 2deho Jan 2013, ecg, treadmill stress test I'm always thinking of heart attack/stroke?"
"THE QUESTION IS Why would you have chest pain? Years ago when people were profoundly unhappy some spoke of ""heartache"" - a kind of deep sadness experienced as a dull ache in the chest. Lacking a physical cause, you might review your history and see if there's cause for being very hurt.",1538241,0,1027564,12103170,"1,671","University at Buffalo, The State University of New York School of Medicine & Biomedical Sciences, NY",52years,"[10530701, 10045171, 10019047, 10055089, 10014344, 10050211, 11045923, 10014428, 10057039, 10014033, 10000059, 10532678, 26076779, 12355789, 12716366, 11832999, 11682263, 11365213, 11996614, 10000414]","948,351","[Panic attacks, ADHD, Anxiety disorder, ptsd]","Tell us about your background, specialties, interests...","[Dr. Amnet s a very knowledgeable and compassionate doctor who gives practical and sensible advice. I enjoy reading his answers. Highly recommended., Dr Ament provides a valuable service to the public on Health Tap. His responses are informative and helpful. I recommend Dr. Ament., I enjoy Dr. Ament's direct, to-the-point answers and wide breadth of knowledge.  He's a great asset to the HealthTap community!, Dr Ament is clearly a very experienced, highly knowledgeable, and compassionate physician. Great answers on Health Tap !]",6,Psychiatry,358,"[Stress, Heart diseases, Chest pain, Heart attack, Stroke, Chest pressure, Cardiac arrest, Chest tightness, Cerebral vascular accident, Myocardial infarction]","Do I still have to worry for my chest pain even if I have normal 2deho Jan 2013, ecg, treadmill stress test I'm always thinking of heart attack/stroke?"
"Health anxiety You're on your way to feeling better if your doctors have examined you, found no physical health problems, and you know that health anxiety explains your concerns. So now you need treatment for the anxiety. A good psychotherapist and psychiatrist can help with this over time. Medications may help, but also talking ; developing certain anxiety management skills will help too. Ask dr. For referrals.",1448572,2,1028023,10075023,,,,,,,,,,,,"[Stress, Feeling anxious, Stress test, Stress echocardiography, Echo, Anxiety]",How do I get over my health anxiety..Particularly heart anxiety?..My ekgs..Echo . Stress test came back normal along with my blood work..Help?!
"Talk therapy If you are having anxiety about your health, and you are healthy, it may help to speak to a professional therapist. This can be invaluable to help you feel better.",1951617,17,1028023,12740913,289,"null State University of New York Upstate Medical University, NY",25years,"[11144895, 10007201, 12770740, 10002944, 11073147, 11189352, 11189394]","140,029","[Stress, Anxiety, Stress echocardiography, Difficulty breathing, Hypertension, Heart palpitations, Managing High Cholesterol, Mitral regurgitation, Valvular heart diseases, Aortic stenosis, Nuclear stress testing]",,"[Dr. Berger is an amazing doctor! #nationaldoctorsday2015 #virtualflower1, Dr. Berger is an amazing doctor! #nationaldoctorsday2015 #virtualflower1]",,Cardiology,55,"[Stress, Feeling anxious, Stress test, Stress echocardiography, Echo, Anxiety]",How do I get over my health anxiety..Particularly heart anxiety?..My ekgs..Echo . Stress test came back normal along with my blood work..Help?!
"Anxiety The last thing a 28 year old woman should be worrying about is a heart attack. It sounds like you have an anxiety disorder, which your doctors should be treating rather than ordering unnecessary ekgs, echos, and stress tests!",1448562,1,1028023,10049981,"7,247","1990-1992 Infectious Diseases Johns Hopkins Hospital, Baltimore, MD",31years,"[10064429, 10049331, 10014592, 11682263, 12737571, 10014033, 10049366, 10070348, 10005209, 10014428, 10075023, 10040350, 11196657, 10014642, 10014830, 11089577, 10003619, 10002907, 11061343, 10011998]","10,910,681","[HIV/AIDS, Sexually Transmitted Diseases, Syphilis, Sexually transmitted infections, Sexual health, HIV medications]","Joel Gallant is associate director of Specialty Services at Southwest CARE Center in Santa Fe, New Mexico, and adjunct professor of medicine in the Division of Infectious Diseases at the Johns Hopkins University School of Medicine. He is an expert on HIV infection and AIDS, and has published and spoken widely on the subject. He is author of many papers and books, including a book for lay readers: ""100 Questions and Answers About HIV and AIDS."" His interactive blog on HIV-related issues is at http://hivforum.tumblr.com.","[Great doctor. Consistently gives thoughtful, insightful and expert advice.]",27,Infectious Disease,"2,436","[Stress, Feeling anxious, Stress test, Stress echocardiography, Echo, Anxiety]",How do I get over my health anxiety..Particularly heart anxiety?..My ekgs..Echo . Stress test came back normal along with my blood work..Help?!
"Could be a cyst You can get an ultrasound to look for ""bakers cyst"".",1463719,1,1028792,11206986,632,Philadelphia College of Osteopathic Medicine University of Rochester,33years,"[10014642, 10014299, 12756606, 10000361, 11205260, 11452794, 11146675, 10023207, 11181136, 11445795, 11191727, 11195737, 12069605]","327,509","[Uterine fibroids, Blood clot in leg, Deep venous thrombosis, Pulmonary embolism, Blood clot in lung, Peripheral arterial disease, CTA of kidney]","I have been actively practicing Cardiovascular and Interventinoal Radiology for over 20 years in an academic setting. This has allowed me to work with and train many medical students, residents and fellows. My interests extend to developing new technology in the CVIR field, advanced 3D imaging, treating complex vascular (arterial and venous) disease using minimally invasive techniques, interventional oncology, aortic disease and many other areas of Radiology. I also have an interest in medical informatics, especially as it pertains to imaging. As part of our CardioVascular Center at Tufts, I have worked closely with all parts of our center, Cardiology, Vascular Surgery, Interventional Cardiology, trying to optimize patient care. We work to streamline diagnosis and treatment, to improve health delivery while always working to keep cost in mind.",[I know Dr. Halin profesionally for many years & also personally as a patient. He deserves the highset praise as a superb interventional radiologist. He is both extremely experienced & skillful in all aspects os his sub-specialty. Have no hesitation in consulting with & referring patients to him with the knowledge that there is no finer interventional radiologist.],1,Interventional Radiology,185,"[Blood clot, Blood clot in leg, Deep venous thrombosis]","Have pain in the back of my knee, no swelling redness or warmth, haven't injured it; could it a blood clot or dvt?"
"Maybe If there is no injury it could be a muscle, ligament, tendon injury or bakers cyst. Blood clots are possible and would not need to be red swollen or painful. Best advice is get examined please.",1449864,0,1028792,12438222,"3,414","McGill University Faculty Of Medicine, QC",14years,"[12838195, 11422481, 11045923, 12754694, 10011998, 20596297, 12684797, 12474082, 12790320, 10053027, 12653432, 12708459, 12737571, 12456431, 10040350, 10075023, 12777885, 10003544, 10000094, 12709733]","3,864,675","[Chest pain, Chest tightness, Angina, Chest pressure, Sore throat, Urgent care, Family medicine, Sexual health]",I will be 100% honest and straight forward. No sugar coating ever.,"[Dr Ahamad Ibrahim is an excellent physician very knowledgeable,passionate and on the top of his field he is a great value to the peolpe of OHIO and to the family of health tap, Compassionate and intelligent physician, always available for his patients., Very accurate and timely responses., Trustworthy, caring and thorough!, Great job]",24,Urgent Care,"1,362","[Blood clot, Blood clot in leg, Deep venous thrombosis]","Have pain in the back of my knee, no swelling redness or warmth, haven't injured it; could it a blood clot or dvt?"
